"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045321","leukocyte activation","30/40","174/1855",0.172413793103448,7.99568965517241,14.3869206482417,4.99107559277496e-24,5.90444242625278e-21,4.74940245880902e-21,"CD81/CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/LCP2/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/RASSF5/IRF2BP2/EBI3/TNFRSF9/CD276/LAT2/SWAP70/ARID1B/PNP/SKAP2/GPNMB/JAK1",30
"BP","GO:0046649","lymphocyte activation","28/40","155/1855",0.180645161290323,8.37741935483871,14.2394234450032,1.44812002994793e-22,8.56562997714199e-20,6.89000266880488e-20,"CD81/CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/RASSF5/IRF2BP2/EBI3/TNFRSF9/CD276/LAT2/SWAP70/ARID1B/PNP/SKAP2/GPNMB/JAK1",28
"BP","GO:0001775","cell activation","30/40","197/1855",0.152284263959391,7.06218274111675,13.3572304747378,2.51181677614833e-22,9.90493082061158e-20,7.96730654609856e-20,"CD81/CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/LCP2/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/RASSF5/IRF2BP2/EBI3/TNFRSF9/CD276/LAT2/SWAP70/ARID1B/PNP/SKAP2/GPNMB/JAK1",30
"BP","GO:0002694","regulation of leukocyte activation","21/40","106/1855",0.19811320754717,9.1875,12.8841533953633,5.84775079805472e-17,1.72947229852468e-14,1.39114913722144e-14,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/RASSF5/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB",21
"BP","GO:0051249","regulation of lymphocyte activation","20/40","97/1855",0.206185567010309,9.56185567010309,12.8555564629788,1.91725358603603e-16,4.53622198456125e-14,3.64883629847699e-14,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/RIF1/RASSF5/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB",20
"BP","GO:0050865","regulation of cell activation","21/40","114/1855",0.184210526315789,8.54276315789474,12.3375821405803,2.90778605512093e-16,5.7331848386801e-14,4.61164665584091e-14,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/RASSF5/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB",21
"BP","GO:0042110","T cell activation","21/40","121/1855",0.173553719008264,8.04855371900826,11.9018561915582,1.0661144077776e-15,1.80173334914414e-13,1.44927432275331e-13,"CD81/CD83/IL7R/IL23A/CDK6/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/ICOSLG/XBP1/RELB/NCKAP1L/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB/JAK1",21
"BP","GO:0022407","regulation of cell-cell adhesion","18/40","93/1855",0.193548387096774,8.9758064516129,11.7127715990654,3.55139823417511e-14,5.25163013878644e-12,4.22429474170303e-12,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/SWAP70/ARID1B/PNP/GPNMB/JAK1",18
"BP","GO:0050863","regulation of T cell activation","17/40","80/1855",0.2125,9.8546875,12.0161571456351,4.42023906875662e-14,5.81015868704342e-12,4.67356271129355e-12,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB",17
"BP","GO:0002682","regulation of immune system process","26/40","270/1855",0.0962962962962963,4.46574074074074,9.14344519921418,2.00766929569526e-13,2.3750727768075e-11,1.9104558350616e-11,"CD81/CD83/IL7R/IL23A/CDK6/TSC22D1/IRF1/LCP2/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/RASSF5/EBI3/TNFRSF9/CD276/LAT2/SWAP70/ARID1B/PNP/GPNMB",26
"BP","GO:0002376","immune system process","31/40","440/1855",0.0704545454545455,3.26732954545455,8.08182256822825,5.57713976808318e-13,5.5622842316029e-11,4.47417800006141e-11,"CD81/CD83/IL7R/IL23A/CDK6/TSC22D1/IKZF1/IRF1/LCP2/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/RASSF5/IRF2BP2/EBI3/TNFRSF9/CD276/LAT2/SWAP70/ARID1B/PNP/SKAP2/GPNMB/JAK1",31
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","16/40","78/1855",0.205128205128205,9.51282051282051,11.400492415671,5.64221561954647e-13,5.5622842316029e-11,4.47417800006141e-11,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP/GPNMB",16
"BP","GO:0002521","leukocyte differentiation","18/40","112/1855",0.160714285714286,7.453125,10.4562736678145,1.10329521805011e-12,1.0039986484256e-10,8.07594232483643e-11,"CD81/CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/RELB/NCKAP1L/IRF2BP2/TNFRSF9/ARID1B/PNP/JAK1",18
"BP","GO:1903131","mononuclear cell differentiation","17/40","97/1855",0.175257731958763,8.12757731958763,10.7019992168477,1.33508901632798e-12,1.12815021879714e-10,9.07459000571801e-11,"CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/RELB/NCKAP1L/IRF2BP2/TNFRSF9/ARID1B/PNP/JAK1",17
"BP","GO:0030098","lymphocyte differentiation","16/40","84/1855",0.19047619047619,8.83333333333333,10.9049459127414,1.94111226669529e-12,1.53089054100035e-10,1.23141437831055e-10,"CD83/IL7R/IL23A/CDK6/IKZF1/IRF1/ZFP36L2/IL4I1/XBP1/RELB/NCKAP1L/IRF2BP2/TNFRSF9/ARID1B/PNP/JAK1",16
"BP","GO:0030155","regulation of cell adhesion","19/40","140/1855",0.135714285714286,6.29375,9.66811770718582,4.88670690959591e-12,3.61310892128248e-10,2.90630463570704e-10,"CD81/CD83/IL7R/IL23A/CDK6/IRF1/HSPH1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/SWAP70/ARID1B/PNP/GPNMB/JAK1",19
"BP","GO:0002696","positive regulation of leukocyte activation","15/40","76/1855",0.197368421052632,9.15296052631579,10.7716121523507,6.75313616468632e-12,4.52131188446284e-10,3.63684294483642e-10,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/EBI3/CD276/ARID1B/PNP",15
"BP","GO:0050670","regulation of lymphocyte proliferation","13/40","51/1855",0.254901960784314,11.8210784313725,11.6301124036162,7.15032217045267e-12,4.52131188446284e-10,3.63684294483642e-10,"CD81/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",13
"BP","GO:0098609","cell-cell adhesion","19/40","143/1855",0.132867132867133,6.16171328671329,9.53578744414918,7.26161672060811e-12,4.52131188446284e-10,3.63684294483642e-10,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/SWAP70/ARID1B/PNP/GPNMB/JAK1",19
"BP","GO:0007159","leukocyte cell-cell adhesion","16/40","92/1855",0.173913043478261,8.06521739130435,10.3166769779132,8.6503513927911e-12,5.0556221966919e-10,4.06663030280685e-10,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP/GPNMB",16
"BP","GO:0030217","T cell differentiation","14/40","64/1855",0.21875,10.14453125,11.0496923995469,9.1022494787237e-12,5.0556221966919e-10,4.06663030280685e-10,"CD83/IL7R/IL23A/CDK6/IRF1/ZFP36L2/IL4I1/XBP1/RELB/NCKAP1L/TNFRSF9/ARID1B/PNP/JAK1",14
"BP","GO:0032944","regulation of mononuclear cell proliferation","13/40","52/1855",0.25,11.59375,11.5000591523683,9.40183333281672e-12,5.0556221966919e-10,4.06663030280685e-10,"CD81/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",13
"BP","GO:0046651","lymphocyte proliferation","14/40","65/1855",0.215384615384615,9.98846153846154,10.9486878258272,1.14445083718057e-11,5.88645800167224e-10,4.73493618677911e-10,"CD81/IL7R/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",14
"BP","GO:0050867","positive regulation of cell activation","15/40","79/1855",0.189873417721519,8.80537974683544,10.5228322705681,1.2320072458041e-11,6.07276904910938e-10,4.88480065880223e-10,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/EBI3/CD276/ARID1B/PNP",15
"BP","GO:0030097","hemopoiesis","20/40","168/1855",0.119047619047619,5.52083333333333,9.11931341520327,1.30490100918311e-11,6.17479157545449e-10,4.96686531495383e-10,"CD81/CD83/IL7R/PRRC2C/IL23A/CDK6/TSC22D1/IKZF1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/RELB/NCKAP1L/IRF2BP2/TNFRSF9/ARID1B/PNP/JAK1",20
"BP","GO:0032943","mononuclear cell proliferation","14/40","66/1855",0.212121212121212,9.83712121212121,10.8498605232556,1.43298049412165e-11,6.52006124825353e-10,5.24459257767602e-10,"CD81/IL7R/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",14
"BP","GO:0042129","regulation of T cell proliferation","12/40","43/1855",0.27906976744186,12.9418604651163,11.7590887825429,1.6493018398255e-11,7.22638546856878e-10,5.81274410605168e-10,"CD81/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/EBI3/TNFRSF9/CD276/PNP/GPNMB",12
"BP","GO:0022409","positive regulation of cell-cell adhesion","14/40","68/1855",0.205882352941176,9.54779411764706,10.6584187570986,2.21999200181219e-11,9.37946620765649e-10,7.54463447232413e-10,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP/JAK1",14
"BP","GO:0070663","regulation of leukocyte proliferation","13/40","56/1855",0.232142857142857,10.765625,11.0134915030589,2.64629074153515e-11,1.07950411973658e-09,8.68329158020972e-10,"CD81/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",13
"BP","GO:0002250","adaptive immune response","14/40","70/1855",0.2,9.275,10.4747690931443,3.38792768123655e-11,1.29287691835575e-09,1.03996150215207e-09,"CD81/IL7R/IL23A/IRF1/IL4I1/NECTIN2/ICOSLG/RELB/NCKAP1L/RIF1/EBI3/LAT2/SWAP70/JAK1",14
"BP","GO:0051251","positive regulation of lymphocyte activation","14/40","70/1855",0.2,9.275,10.4747690931443,3.38792768123655e-11,1.29287691835575e-09,1.03996150215207e-09,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/ICOSLG/XBP1/NCKAP1L/RIF1/EBI3/CD276/ARID1B/PNP",14
"BP","GO:0050870","positive regulation of T cell activation","13/40","59/1855",0.220338983050847,10.218220338983,10.6798823913689,5.43458248600364e-11,2.00909721279447e-09,1.61607321294319e-09,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP",13
"BP","GO:0070661","leukocyte proliferation","14/40","73/1855",0.191780821917808,8.89383561643836,10.2127383248013,6.22231909730646e-11,2.23060711882228e-09,1.79425086569858e-09,"CD81/IL7R/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/GPNMB",14
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","13/40","64/1855",0.203125,9.419921875,10.1741187386686,1.64472089386487e-10,5.72266122777099e-09,4.60318169676111e-09,"CD81/CD83/IL7R/IL23A/HSPH1/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP",13
"BP","GO:0045785","positive regulation of cell adhesion","15/40","96/1855",0.15625,7.24609375,9.32733856454115,2.3859857360867e-10,8.06463178797304e-09,6.48701084337556e-09,"CD81/CD83/IL7R/IL23A/CDK6/HSPH1/IL4I1/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/ARID1B/PNP/JAK1",15
"BP","GO:0042098","T cell proliferation","12/40","53/1855",0.226415094339623,10.5,10.4143145942805,2.48548682442689e-10,8.16758587026948e-09,6.56982482246172e-09,"CD81/IL23A/IRF1/CEBPB/IL4I1/ICOSLG/NCKAP1L/EBI3/TNFRSF9/CD276/PNP/GPNMB",12
"BP","GO:0042113","B cell activation","12/40","55/1855",0.218181818181818,10.1181818181818,10.1882568681556,3.97161381036985e-10,1.26984301018041e-08,1.02143353757449e-08,"CD81/IL7R/ZFP36L2/IL4I1/ICOSLG/XBP1/NCKAP1L/RIF1/IRF2BP2/LAT2/SWAP70/SKAP2",12
"BP","GO:0007155","cell adhesion","20/40","203/1855",0.0985221674876847,4.56896551724138,7.9970883722966,4.7621484615721e-10,1.48253200790521e-08,1.19251584744077e-08,"CD81/CD83/IL7R/IL23A/CDK6/IRF1/HSPH1/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/EBI3/CD276/SWAP70/ARID1B/PNP/GPNMB/JAK1",20
"BP","GO:0046631","alpha-beta T cell activation","11/40","46/1855",0.239130434782609,11.0896739130435,10.2845029916521,8.49526227237761e-10,2.57689622262121e-08,2.0727981360943e-08,"CD81/CD83/IL23A/IRF1/HSPH1/CEBPB/RELB/NCKAP1L/EBI3/PNP/JAK1",11
"BP","GO:1902105","regulation of leukocyte differentiation","12/40","62/1855",0.193548387096774,8.9758064516129,9.4804041622609,1.76799519158928e-09,5.22884577912531e-08,4.2059675084124e-08,"CD83/IL7R/IL23A/CDK6/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",12
"BP","GO:0051239","regulation of multicellular organismal process","26/40","397/1855",0.0654911838790932,3.03715365239295,6.79495874329407,2.22510234719937e-09,6.38680844592808e-08,5.1374069805748e-08,"CD81/CD83/IL7R/IL23A/CDK6/TSC22D1/LMNA/IRF1/HSPH1/ZFP36L2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/RASSF5/EBI3/TNFRSF9/CD276/ARID1B/PNP/GPNMB/JAK1",26
"BP","GO:1903706","regulation of hemopoiesis","13/40","78/1855",0.166666666666667,7.72916666666667,9.01179737451101,2.26750595713423e-09,6.38680844592808e-08,5.1374069805748e-08,"CD83/IL7R/IL23A/CDK6/TSC22D1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",13
"BP","GO:0002684","positive regulation of immune system process","19/40","199/1855",0.0954773869346734,4.42776381909548,7.59545523055628,2.87633294313288e-09,7.91326016680511e-08,6.36525087048255e-08,"CD81/CD83/IL7R/IL23A/IRF1/LCP2/HSPH1/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/EBI3/CD276/LAT2/SWAP70/ARID1B/PNP",19
