"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0010628","positive regulation of gene expression","20/40","229/1855",0.0873362445414847,4.05021834061135,7.31703183439372,4.39871572034378e-09,1.18265470390152e-07,9.51301198849468e-08,"EIF1/CD81/CD83/IL7R/IL23A/HNRNPC/CDK6/SH3BGRL/LMNA/IRF1/CEBPB/ABCF1/XBP1/RIF1/EBI3/CD276/ARID1B/EIF4G3/PAIP1/PNP",20
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","11/40","56/1855",0.196428571428571,9.109375,9.14560334414011,8.18151944330972e-09,2.15083055587453e-07,1.73008036883087e-07,"CD81/IL7R/IL23A/IL4I1/NECTIN2/RELB/NCKAP1L/RIF1/EBI3/SWAP70/JAK1",11
"BP","GO:0045619","regulation of lymphocyte differentiation","10/40","45/1855",0.222222222222222,10.3055555555556,9.37898457500702,1.23342747788945e-08,3.17205370944177e-07,2.55152961101158e-07,"CD83/IL7R/IL23A/IRF1/ZFP36L2/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",10
"BP","GO:0048468","cell development","23/40","340/1855",0.0676470588235294,3.13713235294118,6.47159166371753,2.44798472859677e-08,6.16162964665953e-07,4.95627815151507e-07,"CD81/CD83/IL7R/PRRC2C/IL23A/CDK6/TSC22D1/LMNA/IKZF1/IRF1/ZFP36L2/CEBPB/IL4I1/NECTIN2/XBP1/RELB/NCKAP1L/IRF2BP2/TNFRSF9/ARID1B/EIF4G3/PNP/JAK1",23
"BP","GO:0045580","regulation of T cell differentiation","9/40","37/1855",0.243243243243243,11.2804054054054,9.37477190377701,3.15333659803351e-08,7.77166082390343e-07,6.25135150136468e-07,"CD83/IL7R/IL23A/IRF1/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",9
"BP","GO:0045582","positive regulation of T cell differentiation","8/40","27/1855",0.296296296296296,13.7407407407407,9.89771651153092,3.7089696550181e-08,8.9545124528294e-07,7.20281110233375e-07,"CD83/IL7R/IL23A/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",8
"BP","GO:0010557","positive regulation of macromolecule biosynthetic process","25/40","415/1855",0.0602409638554217,2.79367469879518,6.15507048034323,4.0021632612845e-08,9.46911827619912e-07,7.61674860673934e-07,"EIF1/CD81/CD83/IL7R/IL23A/HNRNPC/CDK6/SH3BGRL/TSC22D1/LMNA/IRF1/HSPH1/CEBPB/ABCF1/IL4I1/XBP1/RELB/RIF1/EBI3/CD276/ARID1B/EIF4G3/PAIP1/PNP/RBM23",25
"BP","GO:0031328","positive regulation of cellular biosynthetic process","25/40","422/1855",0.0592417061611374,2.74733412322275,6.06115840747109,5.74402738153047e-08,1.33238909653932e-06,1.07174422144552e-06,"EIF1/CD81/CD83/IL7R/IL23A/HNRNPC/CDK6/SH3BGRL/TSC22D1/LMNA/IRF1/HSPH1/CEBPB/ABCF1/IL4I1/XBP1/RELB/RIF1/EBI3/CD276/ARID1B/EIF4G3/PAIP1/PNP/RBM23",25
"BP","GO:0009891","positive regulation of biosynthetic process","25/40","430/1855",0.0581395348837209,2.69622093023256,5.95601467735476,8.60039858345415e-08,1.95659067773582e-06,1.57383812134465e-06,"EIF1/CD81/CD83/IL7R/IL23A/HNRNPC/CDK6/SH3BGRL/TSC22D1/LMNA/IRF1/HSPH1/CEBPB/ABCF1/IL4I1/XBP1/RELB/RIF1/EBI3/CD276/ARID1B/EIF4G3/PAIP1/PNP/RBM23",25
"BP","GO:0042127","regulation of cell population proliferation","19/40","244/1855",0.0778688524590164,3.61116803278689,6.49573814070955,9.48774635343764e-08,2.11773659172014e-06,1.70346031847222e-06,"CD81/IL7R/IL23A/CDK6/TSC22D1/LMNA/IRF1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/SKAP2/GPNMB",19
"BP","GO:0045621","positive regulation of lymphocyte differentiation","8/40","31/1855",0.258064516129032,11.9677419354839,9.13970543492989,1.23814662060732e-07,2.66314082214265e-06,2.14217137804596e-06,"CD83/IL7R/IL23A/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",8
"BP","GO:0046634","regulation of alpha-beta T cell activation","8/40","31/1855",0.258064516129032,11.9677419354839,9.13970543492989,1.23814662060732e-07,2.66314082214265e-06,2.14217137804596e-06,"CD81/CD83/IL23A/IRF1/HSPH1/NCKAP1L/EBI3/PNP",8
"BP","GO:0002252","immune effector process","13/40","108/1855",0.12037037037037,5.58217592592593,7.28255428188977,1.38351526007661e-07,2.92267598691184e-06,2.35093570509259e-06,"CD81/IL7R/IL23A/CEBPB/IL4I1/NECTIN2/XBP1/RELB/NCKAP1L/RIF1/LAT2/SWAP70/JAK1",13
"BP","GO:0046635","positive regulation of alpha-beta T cell activation","7/40","22/1855",0.318181818181818,14.7556818181818,9.63293823007017,1.69261029409408e-07,3.51290873318123e-06,2.82570582799825e-06,"CD81/CD83/IL23A/HSPH1/NCKAP1L/EBI3/PNP",7
"BP","GO:0060284","regulation of cell development","13/40","125/1855",0.104,4.823,6.568750990218,8.06225671272776e-07,1.6444223605443e-05,1.32273685450198e-05,"CD83/IL7R/IL23A/CDK6/TSC22D1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",13
"BP","GO:0002819","regulation of adaptive immune response","8/40","40/1855",0.2,9.275,7.85246897727078,1.04854492992201e-06,2.03348959360285e-05,1.63569390276014e-05,"CD81/IL7R/IL23A/IRF1/IL4I1/NECTIN2/NCKAP1L/RIF1",8
"BP","GO:1902107","positive regulation of leukocyte differentiation","8/40","40/1855",0.2,9.275,7.85246897727078,1.04854492992201e-06,2.03348959360285e-05,1.63569390276014e-05,"CD83/IL7R/IL23A/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",8
"BP","GO:1903708","positive regulation of hemopoiesis","8/40","40/1855",0.2,9.275,7.85246897727078,1.04854492992201e-06,2.03348959360285e-05,1.63569390276014e-05,"CD83/IL7R/IL23A/IL4I1/XBP1/NCKAP1L/ARID1B/PNP",8
"BP","GO:0042102","positive regulation of T cell proliferation","7/40","28/1855",0.25,11.59375,8.38312627067644,1.0687857839563e-06,2.03931222971016e-05,1.64037750203139e-05,"CD81/IL23A/ICOSLG/NCKAP1L/EBI3/CD276/PNP",7
"BP","GO:0051240","positive regulation of multicellular organismal process","18/40","254/1855",0.0708661417322835,3.28641732283465,5.82134368270542,1.09215084544833e-06,2.05081658756409e-05,1.64963135218929e-05,"CD81/CD83/IL7R/IL23A/IRF1/HSPH1/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/NCKAP1L/RIF1/EBI3/CD276/ARID1B/PNP/JAK1",18
"BP","GO:0008283","cell population proliferation","19/40","284/1855",0.0669014084507042,3.10255281690141,5.71431974417837,1.14666579674671e-06,2.11954005867399e-05,1.70491098726813e-05,"CD81/IL7R/IL23A/CDK6/TSC22D1/LMNA/IRF1/CEBPB/IL4I1/ICOSLG/XBP1/NCKAP1L/RASSF5/EBI3/TNFRSF9/CD276/PNP/SKAP2/GPNMB",19
"BP","GO:0006955","immune response","20/40","315/1855",0.0634920634920635,2.94444444444444,5.62130308154484,1.17901870193545e-06,2.14581403752253e-05,1.72604519279296e-05,"CD81/CD83/IL7R/IL23A/IRF1/LCP2/CEBPB/IL4I1/NECTIN2/ICOSLG/XBP1/RELB/NCKAP1L/RIF1/EBI3/CD276/LAT2/SWAP70/PNP/JAK1",20
"BP","GO:0002706","regulation of lymphocyte mediated immunity","7/40","29/1855",0.241379310344828,11.1939655172414,8.21179914752329,1.38673939298649e-06,2.48562530591367e-05,1.99938183614001e-05,"CD81/IL7R/IL23A/IL4I1/NECTIN2/NCKAP1L/RIF1",7
"BP","GO:0002263","cell activation involved in immune response","9/40","57/1855",0.157894736842105,7.32236842105263,7.19563175561649,1.67524075001742e-06,2.91442618716267e-05,2.34429974925039e-05,"CD81/IL23A/XBP1/RELB/NCKAP1L/RIF1/LAT2/SWAP70/JAK1",9
"BP","GO:0002366","leukocyte activation involved in immune response","9/40","57/1855",0.157894736842105,7.32236842105263,7.19563175561649,1.67524075001742e-06,2.91442618716267e-05,2.34429974925039e-05,"CD81/IL23A/XBP1/RELB/NCKAP1L/RIF1/LAT2/SWAP70/JAK1",9
"BP","GO:0002709","regulation of T cell mediated immunity","6/40","20/1855",0.3,13.9125,8.61695537690504,2.1214719710062e-06,3.63724832130483e-05,2.92572183339375e-05,"CD81/IL7R/IL23A/IL4I1/NECTIN2/NCKAP1L",6
"BP","GO:0035710","CD4-positive, alpha-beta T cell activation","7/40","31/1855",0.225806451612903,10.4717741935484,7.89307649509202,2.26356074759164e-06,3.82541766342988e-05,3.07708107642533e-05,"CD81/CD83/IL23A/CEBPB/RELB/NCKAP1L/JAK1",7
"BP","GO:0002285","lymphocyte activation involved in immune response","8/40","45/1855",0.177777777777778,8.24444444444444,7.30160948406516,2.71745311541226e-06,4.5278127261024e-05,3.64207207758737e-05,"CD81/IL23A/XBP1/RELB/NCKAP1L/RIF1/SWAP70/JAK1",8
"BP","GO:0032946","positive regulation of mononuclear cell proliferation","7/40","32/1855",0.21875,10.14453125,7.74443339632092,2.85185014834385e-06,4.62155989793257e-05,3.7174802222103e-05,"CD81/IL23A/ICOSLG/NCKAP1L/EBI3/CD276/PNP",7
"BP","GO:0050671","positive regulation of lymphocyte proliferation","7/40","32/1855",0.21875,10.14453125,7.74443339632092,2.85185014834385e-06,4.62155989793257e-05,3.7174802222103e-05,"CD81/IL23A/ICOSLG/NCKAP1L/EBI3/CD276/PNP",7
"BP","GO:0046632","alpha-beta T cell differentiation","7/40","33/1855",0.212121212121212,9.83712121212121,7.60221488802411,3.56279189430546e-06,5.63944227667235e-05,4.53624221925685e-05,"CD83/IL23A/IRF1/RELB/NCKAP1L/PNP/JAK1",7
"BP","GO:2000026","regulation of multicellular organismal development","15/40","191/1855",0.0785340314136126,3.64201570680628,5.72165890230195,3.57530152789879e-06,5.63944227667235e-05,4.53624221925685e-05,"CD83/IL7R/IL23A/CDK6/TSC22D1/IRF1/ZFP36L2/CEBPB/IL4I1/XBP1/NCKAP1L/ARID1B/PNP/GPNMB/JAK1",15
"BP","GO:0002443","leukocyte mediated immunity","9/40","64/1855",0.140625,6.521484375,6.6718240951557,4.6015054208994e-06,7.16260646437367e-05,5.7614416904336e-05,"CD81/IL7R/IL23A/IL4I1/NECTIN2/NCKAP1L/RIF1/LAT2/SWAP70",9
"BP","GO:0001817","regulation of cytokine production","13/40","149/1855",0.087248322147651,4.04614093959732,5.75440149577212,6.22027835902254e-06,9.4907721016678e-05,7.63416646341388e-05,"CD81/CD83/IL23A/IRF1/CEBPB/ICOSLG/XBP1/RELB/NCKAP1L/EBI3/CD276/PNP/GPNMB",13
"BP","GO:0002449","lymphocyte mediated immunity","8/40","50/1855",0.16,7.42,6.83011432300038,6.25765193516558e-06,9.4907721016678e-05,7.63416646341388e-05,"CD81/IL7R/IL23A/IL4I1/NECTIN2/NCKAP1L/RIF1/SWAP70",8
"BP","GO:0070665","positive regulation of leukocyte proliferation","7/40","36/1855",0.194444444444444,9.01736111111111,7.20962858397327,6.63867164417286e-06,9.92566056721222e-05,7.98398109423842e-05,"CD81/IL23A/ICOSLG/NCKAP1L/EBI3/CD276/PNP",7
