"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0003743","translation initiation factor activity","4/13","32/1899",0.125,18.2596153846154,8.17302598687141,4.27705101077212e-05,0.0038493459096949,0.00346666239820477,"EIF3J/EIF5B/EIF4E2/MCTS1",4
"MF","GO:0008135","translation factor activity, RNA binding","4/13","43/1899",0.0930232558139535,13.5885509838998,6.93058542609743,0.000140708969327191,0.00633190361972359,0.0057024161253651,"EIF3J/EIF5B/EIF4E2/MCTS1",4
"MF","GO:0090079","translation regulator activity, nucleic acid binding","4/13","51/1899",0.0784313725490196,11.4570135746606,6.2833421960508,0.00027628352893051,0.00828850586791529,0.00746450236057868,"EIF3J/EIF5B/EIF4E2/MCTS1",4
"MF","GO:0045182","translation regulator activity","4/13","62/1899",0.0645161290322581,9.42431761786601,5.59789740967918,0.000591089746036331,0.0132995192858174,0.0119773448538941,"EIF3J/EIF5B/EIF4E2/MCTS1",4
"MF","GO:0000339","RNA cap binding","2/13","10/1899",0.2,29.2153846153846,7.42538423659391,0.00188826638825039,0.0283239958237558,0.025508159981628,"EIF4E2/MCTS1",2
"MF","GO:0043024","ribosomal small subunit binding","2/13","10/1899",0.2,29.2153846153846,7.42538423659391,0.00188826638825039,0.0283239958237558,0.025508159981628,"G3BP1/MCTS1",2
"MF","GO:0140640","catalytic activity, acting on a nucleic acid","3/13","60/1899",0.05,7.30384615384615,4.11850219869076,0.00684514812855272,0.077961050256455,0.0702105364882694,"PTGES3/G3BP1/POLR2F",3
"MF","GO:0016779","nucleotidyltransferase activity","2/13","19/1899",0.105263157894737,15.3765182186235,5.22757811189953,0.00692987113390712,0.077961050256455,0.0702105364882694,"PTGES3/POLR2F",2
"MF","GO:0043021","ribonucleoprotein complex binding","3/13","64/1899",0.046875,6.84735576923077,3.94984821642577,0.008202011725772,0.08202011725772,0.0738660705128004,"G3BP1/MCTS1/SRPRA",3
"MF","GO:0140097","catalytic activity, acting on DNA","2/13","28/1899",0.0714285714285714,10.4340659340659,4.17436062344586,0.0147949537689355,0.133154583920419,0.119916993706108,"PTGES3/G3BP1",2
